,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,density,pH,sulphates,alcohol,quality,sum_ligne,bound_SO2
462,15.9,0.36,0.65,7.5,0.096,22.0,0.9976,2.98,0.84,14.9,5,115.2236,49.0
329,8.8,0.46,0.45,2.6,0.065,7.0,0.9947,3.32,0.79,14.0,6,49.4797,11.0
96,5.2,0.34,1e-12,1.8,0.05,27.0,0.9916,3.68,0.79,14.0,6,89.851600000001,36.0
898,5.0,0.38,0.01,1.6,0.048,26.0,0.99084,3.7,0.75,14.0,6,86.47883999999999,34.0
419,5.0,0.42,0.24,2.0,0.06,19.0,0.9917,3.72,0.74,14.0,8,77.1717,31.0
589,4.9,0.42,1e-12,2.1,0.048,16.0,0.99154,3.71,0.74,14.0,7,68.909540000001,26.0
1054,5.3,0.47,0.11,2.2,0.048,16.0,0.99182,3.54,0.88,13.6,7,116.13982,73.0
799,7.4,0.36,0.34,1.8,0.075,18.0,0.9933,3.38,0.88,13.6,7,66.82830000000001,20.0
868,5.1,0.42,1e-12,1.8,0.044,18.0,0.99157,3.68,0.73,13.6,7,114.365570000001,70.0
787,5.0,0.4,0.5,4.3,0.046,29.0,0.9902,3.49,0.66,13.6,6,108.9862,51.0
1052,5.3,0.47,0.11,2.2,0.048,16.0,0.99182,3.54,0.88,13.566666666666698,7,116.1064866666667,73.0
346,8.9,0.4,0.51,2.6,0.052,13.0,0.995,3.32,0.9,13.4,7,58.077,14.0
321,11.3,0.62,0.67,5.2,0.086,6.0,0.9988,3.22,0.69,13.4,8,55.184799999999996,13.0
267,11.4,0.625,0.66,6.2,0.088,6.0,0.9988,3.11,0.99,13.3,6,61.3718,18.0
345,9.2,0.41,0.5,2.5,0.055,12.0,0.9952,3.34,0.79,13.3,7,56.090199999999996,13.0
791,7.1,0.39,0.12,2.1,0.065,14.0,0.99252,3.3,0.53,13.3,6,51.89752,10.0
643,9.3,0.38,0.48,3.8,0.132,3.0,0.99577,3.23,0.57,13.2,6,43.08777,8.0
793,7.9,0.54,0.34,2.5,0.076,8.0,0.99235,3.2,0.72,13.1,8,46.36835,9.0
32,4.6,0.52,0.15,2.1,0.054,8.0,0.9934,3.9,0.56,13.1,4,90.97739999999999,57.0
248,13.5,0.53,0.79,4.8,0.12,23.0,1.0018,3.18,0.77,13.0,5,114.6918,54.0
91,5.6,0.5,0.09,2.3,0.049,17.0,0.9937,3.63,0.63,13.0,5,125.7927,82.0
274,12.0,0.37,0.76,4.2,0.066,7.0,1.0004,3.22,0.6,13.0,7,73.2164,31.0
577,5.1,0.585,1e-12,1.7,0.044,14.0,0.99264,3.56,0.94,12.9,7,111.821640000001,72.0
821,5.1,0.51,0.18,2.1,0.042,16.0,0.9924,3.46,0.87,12.9,7,127.15440000000001,85.0
271,5.6,0.85,0.05,1.4,0.045,12.0,0.9924,3.56,0.82,12.9,8,114.2174,76.0
